Product,Product Detail Views,Product Adds To Cart,Product Checkouts,Unique Purchases
Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,341,75,61,34
Nest Cam Outdoor Security Camera - USA,281,54,36,17
Nest Cam Indoor Security Camera - USA,251,73,46,22
Nest Cam IQ - USA,214,34,29,16
Nest Learning Thermostat 3rd Gen-USA - White,181,54,45,27
Nest Secure Alarm System Starter Pack - USA (Preorder),143,83,61,20
Nest Protect Smoke + CO White Wired Alarm-USA,401,48,26,17
Nest Protect Smoke + CO White Battery Alarm-USA,201,53,33,13
Nest Learning Thermostat 3rd Gen-USA - Copper,214,58,47,22
Google Hard Cover Journal,142,40,34,21
