Product,Product Detail Views,Product Adds To Cart,Product Checkouts,Unique Purchases
Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,345,72,56,32
Nest Cam Outdoor Security Camera - USA,271,42,41,20
Nest Cam Indoor Security Camera - USA,292,102,55,23
Nest Cam IQ - USA,201,59,46,0
Nest Learning Thermostat 3rd Gen-USA - White,152,58,44,26
Nest Secure Alarm System Starter Pack - USA (Preorder),142,67,43,14
Nest Protect Smoke + CO White Wired Alarm-USA,389,48,25,16
Nest Protect Smoke + CO White Battery Alarm-USA,143,50,26,10
Nest Learning Thermostat 3rd Gen-USA - Copper,201,34,26,12
Google Hard Cover Journal,100,20,14,9
