Product,Product Detail Views,Product Adds To Cart,Product Checkouts,Unique Purchases
Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,325,154,125,70
Nest Cam Outdoor Security Camera - USA,251,127,123,58
Nest Cam Indoor Security Camera - USA,255,151,113,54
Nest Cam IQ - USA,191,105,90,45
Nest Learning Thermostat 3rd Gen-USA - White,109,67,56,33
Nest Secure Alarm System Starter Pack - USA (Preorder),112,132,96,31
Nest Protect Smoke + CO White Wired Alarm-USA,384,82,45,29
Nest Protect Smoke + CO White Battery Alarm-USA,118,117,72,28
Nest Learning Thermostat 3rd Gen-USA - Copper,191,68,57,27
Google Hard Cover Journal,94,52,44,27
