Product,Product Detail Views,Product Adds To Cart,Product Checkouts,Unique Purchases
Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,325,67,54,32
Nest Cam Outdoor Security Camera - USA,251,53,41,21
Nest Cam Indoor Security Camera - USA,255,68,48,25
Nest Cam IQ - USA,191,31,23,14
Nest Learning Thermostat 3rd Gen-USA - White,109,59,47,37
Nest Secure Alarm System Starter Pack - USA (Preorder),112,78,61,17
Nest Protect Smoke + CO White Wired Alarm-USA,384,54,22,14
Nest Protect Smoke + CO White Battery Alarm-USA,118,67,37,12
Nest Learning Thermostat 3rd Gen-USA - Copper,191,71,55,23
Google Hard Cover Journal,94,42,36,25
