Campaign,Users,New Users,Sessions,Bounce Rate,Transactions,Revenue
Campaign2 Text+Banner,8726,8370,12206,0.8986,2,58.76
Campaign1 Text+Banner,8347,8153,12603,0.9097,0,0
 AW - Dynamic Search Ads Whole Site,1754,1493,2166,0.3033,33,3167.9
Data Share Promo,1291,1175,1545,0.565,0,0
"Page: contains ""/store/bags"" All Users",52,7,58,0.431,1,39.87
"Page: contains ""/store/electronics""",36,6,53,0.5283,0,0
"Page: contains ""/store/office""",35,1,61,0.2951,4,74.98
"Page: contains ""/store/drinkware""",25,1,28,0.4286,0,0
"""store/Accessories August 17"" All Users",16,2,22,0.4091,0,0
 AW - Accessories,14,0,18,0.3333,1,59.83
